FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.5798,2.0441,3269004.2400,766443.0942,465.2200,2.4681,7.5757,2.0429
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.7148,1.5520,3173684.2800,751426.7746,465.3700,2.5638,7.7102,1.5524
64,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,5.0088,1.6079,3173274.3900,772411.1320,327.9300,2.0988,5.0038,1.6078
64,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,4.9355,1.4755,2987100.9800,795060.7012,328.0200,1.9130,4.9309,1.4753
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.2254,4.4806,3059915.3000,621647.6576,2008.4300,3.1024,20.2158,4.4804
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.5810,1.7695,3274363.6400,758753.8017,465.3400,2.3376,7.5769,1.7700
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.5447,1.9945,3142703.3200,715909.4270,465.7200,2.2184,7.5404,1.9955
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.6577,1.6944,3111554.5400,798006.2416,465.1900,2.1572,7.6536,1.6947
128,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,5.7908,1.6675,3185405.0000,765642.6280,328.2100,1.9610,5.7865,1.6687
128,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.2170,1.5834,3285443.6100,755828.2671,327.8600,2.0543,5.2122,1.5837
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,19.6571,4.8738,3471316.9400,5288459.7861,2008.4800,2.5198,19.6473,4.8735
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.8456,1.6983,3397944.0400,676849.8219,465.7200,1.8551,7.8412,1.6983
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.8845,1.5554,3235180.4900,757555.5634,465.6900,2.2347,7.8804,1.5570
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.5881,1.5309,3110925.6000,771802.3213,465.6700,2.5101,7.5831,1.5309
256,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,6.7470,1.4823,3154254.3400,718746.1725,327.1000,2.2737,6.7429,1.4818
256,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.8005,1.3000,3189913.8900,694768.7092,327.7200,2.0788,5.7966,1.2999
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,21.3609,3.5532,3042429.6900,740124.7822,2008.4400,3.1853,21.3499,3.5529
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.9705,1.5285,3170524.9900,749528.6113,465.0800,2.2121,7.9660,1.5283
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.4531,1.5327,3100098.2900,771277.2852,465.4900,2.3769,7.4486,1.5322
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.7028,1.6281,3172807.2100,768566.9156,465.4200,2.2053,7.6984,1.6288
512,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,8.2845,1.5909,3216519.8800,687931.4667,328.0100,2.1283,8.2801,1.5914
512,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,6.0400,1.4005,3241054.2500,738937.1781,327.8200,1.8781,6.0349,1.4008
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.5054,4.2929,2957765.5700,791165.7487,2008.6600,2.7648,20.4951,4.2919
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,8.0546,1.5208,3242102.7000,635429.2279,465.4300,2.3590,8.0508,1.5216
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.6059,1.7646,3203557.9800,751860.3980,465.4500,2.4346,7.6015,1.7649
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.8799,1.5157,3212941.3700,703332.1013,465.2000,2.5139,7.8760,1.5161
1024,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,10.9717,2.0666,3154153.0300,722264.6371,328.1300,2.0768,10.9674,2.0667
1024,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,6.6409,1.4875,3135550.0900,739711.0693,327.9300,2.0988,6.6360,1.4877
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,19.5672,4.3308,3109355.0200,743162.4125,2009.0900,2.5771,19.5575,4.3301
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.7499,1.7373,3159951.2700,763494.8466,465.9700,2.2559,7.7452,1.7375
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.7555,1.6616,3052564.1200,700862.1111,465.1200,2.2727,7.7508,1.6615
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.8122,1.7040,3225831.4600,766117.3022,465.2600,2.6291,7.8078,1.7034
