FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,8.2682,1.2046,3164246.6300,719128.4264,465.5800,2.2234,8.2644,1.2042
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,5.2615,3.1372,3238489.4800,631522.8003,465.5100,2.5709,5.2563,3.1373
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.6735,1.9493,3308102.3900,839184.6478,465.6300,2.4521,7.6692,1.9493
64,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.3786,1.9925,3268956.4200,671677.6953,310.3100,1.9934,4.3731,1.9927
64,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,3.3404,2.0706,3352317.0300,755833.1825,310.6600,2.1504,3.3353,2.0707
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,7.9633,1.5616,3355107.8600,668465.3509,465.1900,2.3181,7.9594,1.5622
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.9483,1.7054,3200473.7200,718834.4462,465.3600,2.2606,7.9437,1.7056
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.7204,1.8404,3237988.5600,757486.6111,465.5700,2.4829,7.7170,1.8405
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.6350,1.8120,3277427.5600,686777.2506,465.3700,2.3818,7.6303,1.8121
128,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,1.5622,1.0538,3327962.7500,618639.9557,310.1600,2.0135,1.5575,1.0530
128,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.7331,1.6886,3157682.8200,747441.0847,310.1800,2.2243,4.7292,1.6885
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,7.9067,1.6262,3267750.0800,771675.2822,465.2800,1.9187,7.9028,1.6259
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,6.8257,2.7029,3287542.9600,743389.1628,465.3800,2.5170,6.8213,2.7036
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,2.5862,1.9154,3217247.7900,676520.9221,465.4200,2.3288,2.5814,1.9162
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.7892,1.8911,3313828.5000,685607.8693,465.3300,2.3283,7.7854,1.8908
256,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.2367,1.3260,3266500.2200,699895.5354,310.7100,2.1830,5.2329,1.3262
256,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,3.3129,2.1581,3302652.8500,1228992.6667,310.4000,1.9899,3.3076,2.1583
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,7.6679,1.7838,3249927.7600,912430.0457,465.7400,2.0130,7.6630,1.7842
