FileSizeKB,ExecName,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
128,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.9033,1.4069,3200239.7600,773422.2735,306.2500,2.2062,4.8992,1.4057
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.0328,1.8511,3217482.4300,719769.7144,419.2400,2.3156,7.0295,1.8516
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.3707,1.5564,3220676.4700,723346.1532,418.7800,2.1752,7.3669,1.5565
256,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,4.7663,1.5678,3221028.6500,710693.3586,305.4300,2.2814,4.7619,1.5673
256,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,5.1608,1.3681,3310712.1900,665699.2791,306.1200,1.9661,5.1575,1.3686
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.2367,1.8996,3266975.4100,729356.1877,419.2500,2.5509,7.2328,1.9004
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.3202,1.5299,3168283.9500,768738.5952,419.4800,2.2382,7.3151,1.5303
512,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,4.5573,1.7197,3196219.5600,698724.0820,304.9700,1.9972,4.5537,1.7212
512,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.9812,1.4104,3178358.2500,767819.5958,306.2600,2.0180,4.9769,1.4108
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.3241,1.6691,3211099.4100,710073.0054,419.0600,2.2926,7.3201,1.6691
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.5491,1.2869,3312980.8100,660192.0044,418.8500,2.2377,7.5460,1.2875
1024,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,4.7657,1.5104,3159815.9600,779230.1127,305.5100,2.1047,4.7611,1.5119
1024,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.9836,1.4263,3312879.0700,833822.8199,306.0200,1.9492,4.9798,1.4265
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.4456,1.4091,3180401.3600,730592.7043,419.4200,2.2189,7.4409,1.4089
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.7250,1.3008,3153831.9500,734192.7538,419.0100,2.3259,7.7203,1.3011
2048,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,4.8914,1.4244,3153621.5000,677365.0911,305.5000,1.9874,4.8873,1.4243
2048,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.8966,1.4143,3163636.1900,698660.2567,306.7300,2.0191,4.8931,1.4137
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.1536,1.7644,3328060.8400,684917.7699,419.3000,2.2383,7.1498,1.7636
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.5158,1.4288,3131960.2100,813683.2150,418.9000,2.4433,7.5117,1.4294
4096,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,4.9382,1.2747,2979147.5400,732115.0681,305.3200,2.1857,4.9339,1.2742
4096,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.8103,1.5120,3206826.2100,678933.2740,306.5900,2.1867,4.8072,1.5123
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.5261,1.4287,3131423.3800,737222.1632,419.2000,2.4698,7.5216,1.4288
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.2071,1.7942,3000008.9200,744079.6707,419.1000,2.3727,7.2033,1.7942
8192,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,4.9805,1.3708,3240610.7300,714745.6549,305.1300,2.2165,4.9759,1.3707
8192,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,5.1299,1.4340,3326017.0400,1165186.6729,306.3700,2.3050,5.1254,1.4338
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.4522,1.5840,3244297.5300,765586.0111,419.2200,2.3176,7.4483,1.5844
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.5299,1.7653,3409894.4200,789712.6469,419.3400,2.2236,7.5258,1.7649
10240,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,5.0480,1.3990,3346129.8400,784368.6145,305.0800,2.1618,5.0434,1.3992
10240,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.7799,1.4120,3303115.6000,1293094.9697,306.3100,1.9477,4.7757,1.4117
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.5512,1.5930,3357020.6500,710879.6331,419.3900,2.5647,7.5470,1.5936
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.1473,1.8286,3254982.1100,769547.0922,419.2300,2.4773,7.1432,1.8295
