FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,20.1312,4.0486,3133234.7300,1554188.6676,2009.9900,3.0642,20.1207,4.0476
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,2.8941,2.3001,3333709.6600,688653.1385,465.3900,2.2445,2.8883,2.3001
256,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,2.7342,1.8050,3191331.6800,715259.7668,252.5000,1.8841,2.7284,1.8034
256,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,1.3447,.8291,3269527.8000,706709.5265,252.3600,2.0664,1.3389,.8280
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,20.9208,3.7741,3038736.3000,719040.0066,2010.5700,2.6767,20.9105,3.7736
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.9407,1.5596,3202990.7000,705994.8465,465.2400,2.4129,7.9365,1.5591
512,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.7284,1.3595,3170676.2900,675339.7636,252.1600,2.1247,3.7210,1.3581
512,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,3.9577,1.3588,3146788.4300,804962.9018,252.3100,2.2257,3.9495,1.3588
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,19.4850,4.5890,2914763.3900,796966.0467,2010.4400,2.7507,19.4762,4.5872
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.0096,2.5437,3312565.9600,656861.0666,465.5600,1.9509,7.0054,2.5439
1024,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.4890,1.7063,3249229.0800,763714.1453,252.2200,2.0570,3.4821,1.7057
1024,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.1536,1.1656,3161285.7400,785130.8699,252.1100,2.0634,4.1454,1.1653
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,7.7233,5.2062,3270867.5900,706784.9885,2010.8600,2.8178,7.7153,5.2054
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,5.2069,3.1356,3207306.5800,733074.3873,465.6900,2.0134,5.2023,3.1357
2048,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.9889,1.3133,3191088.8300,710741.7944,252.1800,2.1880,3.9821,1.3120
2048,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,1.1309,.4943,3103054.2500,834750.3445,252.1800,2.0946,1.1256,.4936
