FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.5414,1.7021,3161864.1400,785240.2639,465.4100,2.3370,7.5360,1.7017
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,8.0107,1.4214,3240917.7300,818796.4094,465.4300,2.1598,8.0058,1.4217
32,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.1121,1.3742,3276260.0700,741577.7744,310.1000,2.1142,5.1080,1.3738
32,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.7862,1.5823,3282580.7800,748408.6487,310.0900,2.1729,4.7817,1.5820
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,17.5281,6.2957,3149584.5800,695145.6240,2009.3400,2.8079,17.5182,6.2951
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.7801,1.4848,3211946.4900,747427.2553,465.2300,2.6677,7.7761,1.4844
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.8077,1.7906,3224364.2700,715156.6784,465.1100,2.4653,7.8034,1.7901
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,8.0115,1.4692,3297781.7300,711099.1655,464.9100,2.4457,8.0070,1.4687
64,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.0307,1.4777,3168393.8700,742508.3013,310.5300,2.0221,5.0264,1.4776
64,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.9385,1.5082,3118203.0500,750540.3099,310.2600,2.2298,4.9342,1.5079
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,18.7512,5.3099,3083802.5100,1048355.7534,2008.5900,2.6984,18.7419,5.3092
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.8376,1.6766,3388379.6100,635083.0101,465.7100,2.0798,7.8336,1.6770
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.3831,1.9019,3178126.9500,862340.0393,465.6100,2.3190,7.3777,1.9025
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.7296,1.6779,3271180.7200,716507.6314,465.3500,2.3510,7.7247,1.6785
128,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.6767,1.6497,3098978.3300,848159.8573,310.4000,2.0928,4.6722,1.6496
128,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.5157,1.8451,3240301.0300,724346.2762,310.9600,1.9744,4.5109,1.8460
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,19.6747,5.0108,3105109.9600,660949.3816,2008.8800,3.1789,19.6648,5.0098
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,8.1023,1.3692,3314906.0300,648028.8409,465.2200,2.2252,8.0986,1.3686
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.8899,1.7742,3273891.2700,761662.2807,465.2300,2.4448,7.8859,1.7736
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.7586,1.6793,3316933.2900,681819.4326,465.6200,2.4648,7.7549,1.6801
256,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.4872,1.7431,2986936.9100,798627.1677,310.6100,2.1161,4.4830,1.7421
256,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.5442,1.6377,3067937.5000,777693.9379,310.2400,1.9905,4.5401,1.6383
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,19.8919,4.6143,3283713.9900,821477.9954,2009.5200,3.0478,19.8812,4.6137
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.9143,1.6537,3177234.0100,788808.8416,465.6400,2.3217,7.9100,1.6541
