FileSizeKB,ExecName,TaskClock,Throughput_MBps
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,7.6706,526.3157
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,7.8696,512.8205
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.1605,1568.6274
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.3309,1509.4339
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,7.9675,1012.6582
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,8.2186,975.6097
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.2743,1923.0769
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,4.9528,2040.8163
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,7.7691,1298.7012
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,7.8321,1282.0512
