FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
6,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.7747,1.9697,3326964.4200,802721.4327,465.2900,2.3250,7.7710,1.9698
6,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,2.5224,2.0162,3407705.3000,608909.7745,465.2200,2.2431,2.5172,2.0163
8,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,1.6755,1.1970,3406531.2800,595344.1816,326.2300,2.1947,1.6706,1.1962
8,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,4.1759,1.8614,3006317.7600,921955.3822,326.5600,2.0800,4.1712,1.8613
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,21.2032,4.0494,3124220.9700,759457.3645,2008.7500,2.6958,21.1928,4.0490
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,5.2111,3.1030,3209780.0600,715722.6950,465.5800,2.3417,5.2067,3.1030
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.7782,1.8917,3181504.6700,724726.8078,465.9100,2.3112,7.7739,1.8924
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,6.6697,2.8347,3356348.5600,663445.3987,465.4600,2.5196,6.6654,2.8355
16,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,1.3078,.1014,3246661.9800,665593.8199,327.2500,2.1041,1.3017,.1009
16,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,2.9619,2.0000,3326055.0900,733057.0243,327.0200,2.1022,2.9568,2.0009
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.2206,4.0827,3107681.0500,713411.8020,2008.9200,3.1454,20.2110,4.0818
