FileSizeKB,ExecName,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.0263,1.7440,3108047.0100,781432.9527,418.9600,2.4245,7.0222,1.7439
128,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.0052,1.3744,3033790.0000,825350.7123,310.5100,2.0223,5.0001,1.3738
128,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,4.9099,1.3358,3015844.0100,758594.3120,310.8900,1.9436,4.9053,1.3358
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.1943,1.5908,3228206.9900,785148.4104,419.3100,2.6445,7.1893,1.5907
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.0668,1.9283,3285781.2400,721623.9259,419.5400,2.0708,7.0621,1.9281
256,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.9227,1.4036,3139398.5100,745123.1828,310.6300,1.8849,4.9184,1.4036
256,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.0214,1.4680,3230242.3200,709666.7260,310.3400,2.1918,5.0169,1.4679
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.4985,1.4723,3186933.9600,759764.9089,419.3500,2.4305,7.4946,1.4722
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.5519,1.3153,3256414.7900,739248.7223,419.5000,2.4020,7.5479,1.3156
512,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.1735,1.1535,3096806.2000,726893.6011,310.5800,2.2234,5.1698,1.1539
512,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.0913,1.2779,3024486.0700,791938.6127,310.5500,2.2152,5.0866,1.2774
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.6195,1.4506,3297594.0800,637683.9241,419.3000,2.4474,7.6142,1.4515
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.5423,1.4744,3296415.2400,719536.8607,419.2700,2.5410,7.5374,1.4741
